year,id,url
2018,5,http://www.foxnews.com/entertainment/2011/11/28/miley-cyrus-jokes-about-smoking-too-much-weed-at-1th-birthday-party.html?intcmp=related
2019,9,https://www.foxnews.com/entertainment/baby-bash-arrested-for-possession-of-marijuana
2019,9,https://www.foxnews.com/entertainment/cnn-revels-in-pot-smoke-during-new-years-eve-report-from-denver
EXTRACTED,ON,2020-11-16
2015,6,http://www.foxnews.com/entertainment/2009/04/09/seth-rogen-says-smoking-weed-guy/print
2015,6,http://www.foxnews.com/entertainment/2011/03/29/willie-nelson-sing-freedom-texas-pot-case/print
2015,6,http://www.foxnews.com/entertainment/2012/01/26/brad-pitt-spent-decade-smoking-pot-which-0s-star-was-biggest-screwup/print
2015,6,http://www.foxnews.com/entertainment/2013/01/03/miss-universe-olivia-culpo-doesnt-like-pot/
2016,7,http://www.foxnews.com/entertainment/2010/07/23/rocker-bret-michaels-buster-pot-drugs-tour-bus/print
2016,7,http://www.foxnews.com/entertainment/2010/08/18/cheech-marin-slams-arizona-immigration-law-calls-legalization-pot/
2016,7,http://www.foxnews.com/entertainment/2010/11/23/hugh-hefner-talks-monogomy-miley-cyrus-marijuana/
2017,4,http://www.foxnews.com/auto/2012/11/02/porsche-headlights-being-pilfered-to-grow-pot.html
2018,5,http://www.foxnews.com/auto/2017/01/23/pot-pursuit-speeder-tosses-drugs-from-car-during-highway-chase.html
2018,5,http://www.foxnews.com/entertainment/2009/04/03/carlos-santana-president-obama-legalize-pot-dude.html?cmpid=prn_foxsports
2019,4,https://www.foxnews.com/auto/scientific-basis-for-laws-on-marijuana-driving-questioned
2019,4,https://www.foxnews.com/entertainment/2014-emmys-marijuana-takes-center-stage
EXTRACTED,ON,2020-11-09
2016,18,https://www.washingtonpost.com/blogs/in-the-loop/post/is-obama-endorsement-from-pot-group-smoke-and-mirrors/2012/08/29/b1e4bc46-f218-11e1-a612-3cfc842a6d89_blog.html
2016,18,https://www.washingtonpost.com/blogs/in-the-loop/post/romneys-opportunity-on-pot-policy/2012/03/19/gIQAR3tFNS_blog.html
2016,18,https://www.washingtonpost.com/blogs/in-the-loop/wp/2014/04/29/gop-congressman-pushes-for-medical-marijuana/
2016,18,https://www.washingtonpost.com/blogs/mike-debonis/post/four-medical-marijuana-dispensaries-approved/2012/06/12/gJQAXHyhXV_blog.html?hpid=z5
2018,13,https://www.washingtonpost.com/archive/business/1981/02/15/marijuana-a-pot-of-gold-in-latest-crop/b5fe4fd2-3262-428b-a964-15f09b7d37d4/
2019,4,https://www.washingtonpost.com/amphtml/news/wonk/wp/2017/12/01/medical-marijuana-took-a-bite-out-of-alcohol-sales-recreational-pot-could-take-an-even-bigger-one/?fbclid=IwAR2R-NtsfJ9sz3Gp0v8FYKAZpt2KN8kdCsg1dZVeojHwkHx6jJgVYVRcnzQ&noredirect=on
2019,4,https://www.washingtonpost.com/amphtml/news/wonk/wp/2018/06/27/oklahoma-voters-just-approved-one-of-the-most-progressive-medical-marijuana-bills-in-the-country/?ref=patrick.net&tid=ss_tw&utm_term=.ff3a3f8660fe&__twitter_impression=true
2019,4,https://www.washingtonpost.com/archive/local/1977/02/23/md-delegate-backs-study-on-easing-marijuana-law/8b714e1c-a57f-44f0-8821-c186c7606ced/
2019,4,https://www.washingtonpost.com/archive/local/1977/04/13/dc-policeman-wife-charged-with-possession-of-marijuana/fc31b70d-75e4-421b-8d04-5e487e7fb4d1/
2018,22,https://www.washingtonpost.com/archive/business/1982/12/18/in-third-week-the-pot-begins-to-bulge-nicely/2a6aa901-f53e-4200-9d9d-e4e24f38dcc2/
2018,26,https://www.washingtonpost.com/amphtml/world/europe/in-italy-the-army-provides-medical-marijuana-and-thats-a-problem/2017/11/29/339e027e-d454-11e7-9ad9-ca0619edfa05_story.html
2018,26,https://www.washingtonpost.com/archive/business/1981/11/15/marijuana-lobbyists-claim-growers-harvest-record-crop/329c1497-5ec4-4c6c-97d7-9532b1d40a96/
EXTRACTED,ON,2020-10-29
2016,18,https://www.washingtonpost.com/blogs/behind-the-numbers/post/new-high-supports-legalizing-marijuana-cain-and-romney-close-in-sc-and-other-top-polls/2011/10/07/gIQAkRFnxL_blog.html
2016,18,https://www.washingtonpost.com/blogs/govbeat/wp/2014/03/11/pot-sales-spark-warehouse-boom-in-colorado/
2016,18,https://www.washingtonpost.com/blogs/govbeat/wp/2014/07/08/theres-more-than-one-way-to-legalize-marijuana/
2016,18,https://www.washingtonpost.com/blogs/govbeat/wp/2014/07/11/marijuana-demand-in-colorado-may-be-nearly-a-third-higher-than-previously-estimated/
2017,47,https://www.washingtonpost.com/amphtml/national/vermont-governor-vetoes-bill-to-legalize-marijuana-suggests-revisions/2017/05/24/7cc80e2e-3d03-11e7-a058-ddbb23c75d82_story.html
2017,47,https://www.washingtonpost.com/amphtml/news/early-lead/wp/2017/07/25/a-former-jets-player-is-suing-jeff-sessions-to-legalize-marijuana/
2018,9,https://www.washingtonpost.com/amphtml/national/2018/01/10/study-legal-marijuana-could-generate-more-than-132-billion-in-federal-tax-revenue-and-1-million-jobs/
2019,4,https://www.washingtonpost.com/amphtml/national/health-science/how-medical-marijuana-made-me-a-better-mom/2018/11/16/37f4a28a-dc76-11e8-b732-3c72cbf131f2_story.html?noredirect=on
2019,4,https://www.washingtonpost.com/amphtml/news/food/wp/2017/04/18/brands-want-to-capitalize-on-420-munchies-pot-advocates-say-its-time-to-grow-up/
2019,4,https://www.washingtonpost.com/amphtml/news/posteverything/wp/2017/08/01/why-jeff-sessions-is-going-to-lose-his-war-against-cannabis/
2018,13,https://www.washingtonpost.com/amphtml/news/early-lead/wp/2018/01/03/mike-tyson-breaks-ground-on-40-acre-marijuana-ranch-in-california/
2018,13,https://www.washingtonpost.com/archive/business/1981/01/05/religions-marijuana-services-test-what-the-first-amendment-stands-for/18f9ffaa-4ab4-4c01-941f-b4271199a1f5/
